index,Datum,Temperatur,Luftfeuchtigkeit,CO2,Wassergehalt,Anwesenheit
1,2017-01-25 17:51:00,23.18,27.272,721.25,0.0047929881765052,1
2,2017-01-25 17:51:59,23.15,27.2675,714.0,0.0047834409493106,1
3,2017-01-25 17:53:00,23.15,27.245,713.5,0.0047794635244219,1
4,2017-01-25 17:54:00,23.15,27.2,708.25,0.0047715088260817,1
5,2017-01-25 17:55:00,23.1,27.2,704.5,0.0047569929333151,1
6,2017-01-25 17:55:59,23.1,27.2,701.0,0.0047569929333151,1
7,2017-01-25 17:57:00,23.1,27.2,701.666666666667,0.0047569929333151,1
8,2017-01-25 17:57:59,23.1,27.2,699.0,0.0047569929333151,1
9,2017-01-25 17:58:59,23.1,27.2,689.333333333333,0.0047569929333151,1
10,2017-01-25 18:00:00,23.075,27.175,688.0,0.0047453507196665,1
11,2017-01-25 18:01:00,23.075,27.15,690.25,0.0047409518969426,1
12,2017-01-25 18:02:00,23.1,27.1,691.0,0.0047393707305206,1
13,2017-01-25 18:03:00,23.1,27.1666666666667,683.5,0.0047511187556095,1
14,2017-01-25 18:04:00,23.05,27.15,687.5,0.0047337317970825,1
15,2017-01-25 18:04:59,23.0,27.125,686.0,0.0047149421459047,1
16,2017-01-25 18:06:00,23.0,27.125,680.5,0.0047149421459047,1
17,2017-01-25 18:07:00,23.0,27.2,681.5,0.0047280779496687,0
18,2017-01-25 18:08:00,22.945,27.29,685.0,0.0047279513717807,0
19,2017-01-25 18:08:59,22.945,27.39,685.0,0.0047454083970941,0
20,2017-01-25 18:10:00,22.89,27.39,689.0,0.00472950615591,0
21,2017-01-25 18:10:59,22.89,27.39,689.5,0.00472950615591,0
22,2017-01-25 18:11:59,22.89,27.39,689.0,0.00472950615591,0
23,2017-01-25 18:13:00,22.89,27.445,691.0,0.0047390755147466,0
24,2017-01-25 18:14:00,22.89,27.5,688.0,0.0047486451658114,0
25,2017-01-25 18:15:00,22.89,27.5,689.5,0.0047486451658114,0
26,2017-01-25 18:16:00,22.79,27.445,689.0,0.0047102240468062,0
27,2017-01-25 18:16:59,22.79,27.5,685.666666666667,0.0047197349991495,0
28,2017-01-25 18:17:59,22.79,27.5,687.0,0.0047197349991495,0
29,2017-01-25 18:19:00,22.79,27.5,688.0,0.0047197349991495,0
30,2017-01-25 18:20:00,22.745,27.5,670.0,0.0047067761580489,0
31,2017-01-25 18:21:00,22.7,27.4633333333333,668.666666666667,0.0046875430838439,0
32,2017-01-25 18:22:00,22.7,27.5,670.0,0.0046938487141081,0
33,2017-01-25 18:23:00,22.7,27.5,667.0,0.0046938487141081,0
34,2017-01-25 18:23:59,22.6666666666667,27.4266666666667,664.5,0.0046717077646175,0
35,2017-01-25 18:24:59,22.7,27.6,670.0,0.0047110465325231,0
36,2017-01-25 18:26:00,22.6,27.4266666666667,670.333333333333,0.0046526994586977,0
37,2017-01-25 18:27:00,22.6,27.39,672.0,0.0046464328065348,0
38,2017-01-25 18:28:00,22.6,27.3566666666667,658.0,0.0046407359587843,0
